"GET_BASELINE","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"FirstExecution",50,25,8,60,"9,46","0,000%","49,65243","464,96","17,70","9589,0"
"FirstExecution",100,24,10,48,"7,39","0,000%","97,75171","915,37","34,84","9589,0"
"FirstExecution",150,27,7,52,"9,58","0,000%","139,40520","1305,43","49,69","9589,0"
"FirstExecution",200,31,6,62,"12,37","0,000%","192,67823","1804,29","68,68","9589,0"
"FirstExecution",250,37,8,84,"16,52","0,000%","231,48148","2167,65","82,51","9589,0"
"FirstExecution",300,43,8,89,"19,06","0,000%","312,50000","2926,33","111,39","9589,0"
"FirstExecution",350,47,9,107,"22,90","0,000%","312,22123","2923,72","111,29","9589,0"
"FirstExecution",400,54,8,124,"27,46","0,000%","316,70625","2965,72","112,89","9589,0"
"FirstExecution",450,61,8,137,"31,01","0,000%","455,00506","4260,78","162,18","9589,0"
"FirstExecution",500,64,6,160,"35,27","0,000%","435,91979","4082,07","155,38","9589,0"
"FirstExecution",550,88,13,202,"49,85","0,000%","450,81967","4221,59","160,69","9589,0"
"FirstExecution",600,92,13,211,"48,86","0,000%","450,45045","4218,13","160,56","9589,0"
"Total5Execution",50,41,8,101,"16,71","0,000%","7,40829","69,37","2,64","9589,0"
"Total5Execution",100,69,10,206,"38,47","0,000%","19,60477","183,58","6,99","9589,0"
"Total5Execution",150,99,7,240,"56,45","0,000%","29,93892","280,36","10,67","9589,0"
"Total5Execution",200,122,6,303,"71,17","0,000%","52,78159","494,26","18,81","9589,0"
"Total5Execution",250,157,8,394,"95,29","0,000%","59,60897","558,19","21,25","9589,0"
"Total5Execution",300,185,8,465,"112,76","0,000%","68,16942","638,36","24,30","9589,0"
"Total5Execution",350,210,9,516,"125,32","0,000%","82,93839","776,66","29,56","9589,0"
"Total5Execution",400,241,8,599,"145,27","0,000%","73,03535","683,92","26,03","9589,0"
"Total5Execution",450,271,8,681,"165,43","0,000%","88,34963","827,33","31,49","9589,0"
"Total5Execution",500,303,6,754,"183,94","0,000%","62,54378","585,68","22,29","9589,0"
"Total5Execution",550,374,13,893,"220,59","0,000%","63,20822","591,90","22,53","9589,0"
"Total5Execution",600,414,13,1060,"252,96","0,000%","117,27912","1098,23","41,80","9589,0"