"POST_BASELINE","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"FirstExecution",50,30,18,54,"9,24","0,000%","49,85045","18,01","123,85","370,0"
"FirstExecution",100,22,9,50,"7,41","0,000%","97,94319","35,39","243,33","370,0"
"FirstExecution",150,21,7,39,"6,70","0,000%","141,11007","50,99","350,57","370,0"
"FirstExecution",200,22,8,54,"8,30","0,000%","193,79845","70,02","481,47","370,0"
"FirstExecution",250,23,7,46,"8,64","0,000%","240,38462","86,86","597,21","370,0"
"FirstExecution",300,29,5,59,"12,86","0,000%","318,80978","115,19","792,04","370,0"
"FirstExecution",350,33,7,69,"13,64","0,000%","319,05196","115,28","792,64","370,0"
"FirstExecution",400,37,6,75,"15,70","0,000%","317,46032","114,71","788,69","370,0"
"FirstExecution",450,41,9,92,"19,94","0,000%","462,48715","167,11","1148,99","370,0"
"FirstExecution",500,46,9,94,"17,90","0,000%","475,28517","171,73","1180,79","370,0"
"FirstExecution",550,56,10,118,"26,09","0,000%","466,10169","168,42","1157,97","370,0"
"FirstExecution",600,52,12,115,"24,17","0,000%","464,03712","167,67","1152,84","370,0"
"Total5Execution",50,34,18,91,"10,76","0,000%","5,10903","1,85","12,69","370,0"
"Total5Execution",100,42,9,90,"18,12","0,000%","28,14523","10,17","69,92","370,0"
"Total5Execution",150,58,7,205,"33,91","0,000%","42,87674","15,49","106,52","370,0"
"Total5Execution",200,70,8,172,"38,75","0,000%","54,25642","19,60","134,79","370,0"
"Total5Execution",250,85,7,210,"48,21","0,000%","52,92349","19,12","131,48","370,0"
"Total5Execution",300,107,5,262,"62,18","0,000%","70,74804","25,56","175,76","370,0"
"Total5Execution",350,124,7,304,"71,20","0,000%","82,12878","29,68","204,04","370,0"
"Total5Execution",400,142,6,369,"83,98","0,000%","67,16368","24,27","166,86","370,0"
"Total5Execution",450,165,9,503,"103,04","0,000%","90,89440","32,84","225,82","370,0"
"Total5Execution",500,183,9,439,"107,91","0,000%","97,41651","35,20","242,02","370,0"
"Total5Execution",550,223,10,571,"130,73","0,000%","126,60559","45,75","314,54","370,0"
"Total5Execution",600,222,12,543,"130,18","0,000%","126,37432","45,66","313,96","370,0"